genre,avg(rating)
Film-Noir,3.940980159092987
War,3.818027705953869
Documentary,3.721155089897814
Crime,3.714365727372299
Drama,3.705322643061468
Mystery,3.6926881453688485
Animation,3.6317933938708835
Western,3.6226740341928783
IMAX,3.615350636959556
Musical,3.5860678298748234
Romance,3.564232883755883
Thriller,3.556074737520864
Adventure,3.548707972267288
Fantasy,3.53358811695082
Sci-Fi,3.5143135204772262
Action,3.5034052119350885
Children,3.4621105425806777
Comedy,3.4504964956825934
(no genres listed),3.3751289989680084
Horror,3.316824733607463
